[0, 13, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 7, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 0, 0, 0, 26, 1, 0, 0, 0, 13, 0, 0, 0, 11, 0, 0, 3, 0, 0, 15, 0, 1, 1, 0, 0, 0, 12, 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 1, 0, 6, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 18, 0, 0, 0, 0, 10, 2, 3, 1, 0, 2, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 2, 8, 0, 12, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 0, 0, 16, 0, 0]
[0, 13, 0, 1, 5, 0, 0, 0, 4, 0, 0, 14, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 12, 0, 0, 16, 0, 14, 0, 0, 0, 0, 3, 0, 2, 13, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 0, 6, 0, 0, 0, 22, 0, 0, 0, 2, 0, 0, 8, 0, 0, 4, 0, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 11, 0, 0, 0, 15, 0, 0, 0, 10, 0, 0, 4, 0, 2, 7, 0, 5, 0, 13, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 8, 0, 0, 0, 7, 0, 13, 0, 6, 2, 0, 0, 13, 0, 0, 1, 4, 0, 0, 0, 12, 0, 0, 2, 2, 0, 6, 0, 0, 8, 16, 0, 0, 0]
[0, 13, 0, 0, 7, 0, 0, 1, 0, 11, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 8, 0, 9, 0, 21, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 9, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 2, 0, 9, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 1, 0, 0, 13, 0, 0, 0, 0, 18, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 2, 9, 0, 0, 19, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 0, 0, 7, 0, 0, 8, 0, 0, 12, 13, 0, 0]
[4, 0, 0, 17, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 5, 0, 2, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 16, 0, 0, 12, 0, 18, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 0, 0, 3, 6, 0, 0, 0, 0, 9, 0, 1, 10, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 2, 0, 6, 0, 0, 13, 0, 0, 13, 0, 0, 0, 0, 4, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 10, 0, 0, 0, 0, 0, 6, 0, 0, 4, 0, 0, 11, 0, 0, 0, 16, 0, 0, 1, 0, 10, 0, 8, 0, 0, 0, 0, 16, 0, 0, 0, 10, 5, 0, 6, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 6, 0, 0, 0, 0, 10, 0, 10, 0, 9, 0, 0, 12, 0, 0, 1, 0, 8, 0, 0, 0, 8, 0, 0, 5, 0, 6, 0, 0, 5, 0, 12, 0, 0, 4]
[4, 3, 8, 0, 0, 0, 0, 0, 10, 0, 4, 0, 0, 1, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7, 9, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 0, 0, 8, 0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 13, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 13, 0, 0, 2, 1, 4, 0, 0, 2, 0, 7, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 12, 0, 0, 0, 0, 2, 0, 2, 0, 0, 17, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 9, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 0, 0, 8, 0, 12, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 0, 0, 0, 15, 0, 0, 0, 8, 0, 4]
[0, 13, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 1, 14, 0, 0, 1, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 11, 0, 1, 0, 10, 0, 0, 0, 0, 18, 0, 0, 1, 8, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 20, 0, 1, 0, 7, 0, 7, 0, 2, 0, 7, 0, 0, 0, 0, 16, 0, 0, 0, 3, 0, 0, 8, 0, 0, 13, 0, 0]
[0, 13, 0, 0, 0, 9, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 18, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 0, 0, 0, 15, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 5, 6, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0]
[0, 13, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 0, 0, 9, 0, 0, 0, 20, 0, 0, 1, 2, 0, 12, 0, 0, 0, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 0, 0, 0, 27, 0, 0, 0, 0, 2, 0, 4, 1, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 14, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 3, 0, 20, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 7, 0, 4, 0, 4, 2, 0, 0, 18, 0, 6, 0]
[0, 13, 0, 1, 0, 7, 0, 0, 0, 11, 0, 0, 0, 0, 0, 8, 0, 1, 0, 1, 0, 0, 0, 2, 0, 5, 0, 3, 6, 10, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 13, 0, 0, 2, 0, 0, 0, 21, 0, 0, 0, 0, 4, 0, 5, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 6, 0, 2, 2, 2, 8, 0, 3, 4, 0, 8, 0, 0, 4, 0, 2, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 8, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 0, 11, 0, 0, 0, 0, 2, 0, 21, 0, 0, 0, 3, 8, 0, 2, 1, 0, 0, 14, 0, 0, 2, 7, 8, 0, 3, 0, 0, 0, 0, 5, 1, 1, 0, 0, 7, 0, 0, 0, 0, 0, 5, 2, 0, 0, 2, 0, 9, 0, 11, 0, 8, 0, 0, 13, 0, 0, 0, 0, 10, 0, 0, 0, 6, 0, 1, 0, 0, 17, 0, 0, 0, 1, 10, 0, 6, 0]
[0, 13, 0, 1, 5, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 1, 8, 8, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 0, 21, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 14, 0, 0, 0, 9, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 7, 0, 0, 6, 4, 0, 7, 1, 7, 0, 0, 0, 0, 10, 0, 0, 0, 6, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 0, 0, 11, 0, 0, 0, 0, 20, 0, 0, 0, 0, 17, 0, 0, 0, 0, 9, 0, 0, 0, 11, 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 0, 10, 0, 0, 15, 1, 6, 0, 6, 0, 1, 4, 0, 5, 0, 0, 0, 11, 0, 0, 0, 8, 0, 1, 0, 7, 0, 10, 13, 0, 0]
