[0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 22, 0, 0, 2, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 27, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 0, 0, 8, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 28]
[0, 0, 19, 0, 0, 0, 0, 12, 0, 0, 0, 0, 9, 17, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 0, 0, 2, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 14, 0, 1, 0, 0, 0, 0, 19, 0, 0, 3, 0, 0, 3, 0, 8, 0, 0, 0, 0, 14, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 17, 0, 0, 23, 0, 0, 0, 0, 15, 0, 0, 1, 0, 5, 0, 9, 0, 0, 17]
[0, 15, 0, 0, 0, 6, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 7, 0, 0, 2, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 12, 0, 0, 12, 0, 2, 0, 0, 0, 20, 0, 0, 8, 0, 1, 0, 0, 0, 0, 17, 0, 25, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 12, 0, 4, 0, 0, 17, 7, 0, 15, 0, 0, 0, 0, 12, 0, 0, 0, 0, 13, 0, 0, 16]
[4, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 4, 0, 7, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 14, 0, 0, 3, 15, 0, 1, 6, 0, 0, 0, 0, 14, 7, 0, 0, 0, 0, 0, 0, 20, 11, 0, 0, 0, 0, 25, 0, 0, 2, 20, 0, 0, 0, 2, 1, 0, 6, 0, 11, 0, 0, 0, 1, 0, 10, 0, 0, 9, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 12, 0, 0, 7, 0, 3, 0, 0, 0, 0, 0, 20, 0, 1, 9, 0, 2, 1, 10, 14, 2, 0, 0, 0, 18, 0, 0, 0, 0, 4, 0, 10, 0, 0, 16]
[0, 0, 19, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 15, 0, 0, 4, 2, 0, 0, 0, 0, 19, 0, 0, 0, 8, 0, 0, 0, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 16, 0, 0, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 10, 0, 4, 0, 0, 8, 0, 5, 0, 18, 0, 0, 0, 0, 0, 4, 0, 32, 0, 0, 0, 0, 0, 8, 2, 9, 13, 0, 1, 2, 0, 0, 0, 14, 0, 3, 0, 0, 0, 8, 2, 0, 9, 0, 0, 0, 0, 3, 1, 1, 11, 0, 0, 2, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 14, 0, 0, 0, 12, 0, 25, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 27]
[4, 0, 9, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 0, 0, 0, 5, 0, 0, 12, 0, 1, 0, 0, 9, 0, 0, 0, 3, 0, 0, 0, 7, 0, 4, 0, 7, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 5, 0, 0, 19, 0, 0, 4, 0, 1, 0, 0, 14, 7, 0, 0, 0, 0, 0, 0, 20, 11, 0, 0, 7, 1, 0, 11, 0, 11, 11, 2, 0, 0, 0, 10, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 8, 0, 6, 0, 0, 6, 5, 0, 0, 8, 0, 0, 9, 0, 0, 0, 8, 0, 0, 2, 12, 0, 0, 11, 0, 3, 21, 0, 0, 0, 15, 0, 0, 0, 2, 1, 0, 0, 17, 0, 0, 16]
[0, 15, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 2, 0, 0, 0, 13, 0, 0, 0, 1, 0, 7, 0, 0, 0, 0, 4, 6, 0, 0, 11, 0, 0, 0, 0, 11, 0, 0, 0, 1, 8, 0, 0, 0, 0, 13, 0, 9, 0, 5, 0, 5, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 13, 0, 23, 0, 0, 0, 0, 13, 0, 0, 13, 9, 0, 0, 0, 0, 17, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 0, 7, 0, 1, 0, 0, 0, 6, 0, 13, 0, 0, 0, 6, 0, 6, 1, 1, 0, 0, 0, 21, 0, 0, 0, 0, 10, 0, 6, 0, 0, 15, 9, 0, 13, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13, 0, 0, 16]
[0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 21, 0, 0, 9, 0, 0, 10, 0, 4, 2, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 0, 0, 0, 12, 0, 0, 0, 0, 9, 0, 0, 0, 11, 0, 0, 0, 8, 0, 0, 0, 21, 0, 0, 0, 2, 0, 11, 0, 12, 0, 0, 0, 7, 0, 0, 1, 30, 0, 0, 0, 0, 0, 10, 1, 10, 12, 0, 0, 0, 10, 0, 0, 0, 13, 0, 0, 0, 1, 0, 14, 0, 0, 1, 4, 0, 0, 0, 3, 0, 11, 0, 0, 2, 0, 10, 0, 0, 9, 0, 2, 0, 0, 0, 0, 0, 21, 0, 0, 0, 17, 0, 0, 4, 20, 0, 2, 8, 0, 0, 0, 7, 0, 0, 2, 0, 12, 0, 0, 16]
[0, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 4, 0, 0, 0, 11, 0, 0, 0, 0, 11, 0, 0, 1, 0, 0, 9, 0, 0, 0, 0, 2, 8, 0, 0, 9, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 0, 0, 0, 11, 0, 0, 0, 18, 0, 0, 3, 0, 0, 0, 14, 0, 0, 0, 18, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 9, 1, 10, 12, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 16, 0, 0, 0, 2, 0, 0, 17, 0, 0, 0, 0, 0, 6, 1, 0, 4, 0, 8, 0, 4, 0, 0, 13, 0, 0, 1, 0, 0, 0, 0, 30, 0, 0, 0, 0, 9, 15, 0, 7, 3, 0, 0, 11, 0, 0, 0, 0, 0, 15, 0, 0, 16]
[0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 7, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 17, 0, 0, 2, 4, 0, 0, 19, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 18, 0, 0, 0, 8, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 17]
