[29, 0, 0, 0, 0, 0, 0, 23, 0, 1, 0, 8, 0, 0, 0, 21, 0, 0, 0, 13, 0, 20, 0, 0, 2, 0, 0, 0, 0, 12, 18, 0, 0, 17, 0, 0, 0, 0, 3, 14, 5, 16, 0, 0, 11, 0, 0, 22, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 40, 0, 0, 0, 0, 12, 0, 9, 0, 0, 10, 0, 13, 0, 0, 6, 0, 0, 0, 0, 28, 0, 0, 11, 0, 17, 8, 0, 0, 0, 0, 28, 0, 0, 0, 0, 19, 0, 28, 0, 0]
[0, 34, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 18, 0, 16, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 10, 0, 0, 0, 30, 0, 0, 25, 0, 0, 0, 0, 11, 0, 0, 0, 0, 36, 0, 0, 15, 0]
[29, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 0, 29, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 11, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 43, 0, 0, 0, 12]
[29, 0, 0, 0, 0, 0, 4, 13, 5, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 12, 0, 0, 23, 0, 0, 0, 0, 0, 16, 3, 0, 31, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 0, 19, 0, 0, 0, 15, 0, 0, 0, 19, 0, 0, 0, 23, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 0, 26, 0, 0, 13, 0, 15, 10, 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 10, 0, 8, 0]
[0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 17, 0, 0, 16, 0, 0, 0, 0, 15, 0, 0, 12, 0, 0, 0, 22, 0, 0, 10, 0, 0, 11, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 0, 0, 35, 0, 0, 20, 0, 0, 0, 0, 16, 0, 0, 0, 0, 31, 0, 16, 6, 0]
[29, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 5, 0, 0, 0, 0, 0, 19, 0, 0, 24, 0, 0, 11, 0, 0, 0, 0, 9, 8, 11, 10, 0, 12, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 16, 0, 0, 10, 0, 9, 0, 0, 0, 0, 33, 0, 0, 0, 6, 0, 17, 0, 0, 0, 0, 6, 0, 0, 24, 0, 0, 15, 0, 13, 12, 0, 3, 0, 0, 16, 0, 0, 0, 0, 31, 0, 0, 20, 0]
[29, 0, 0, 0, 0, 0, 0, 23, 0, 1, 0, 8, 7, 0, 0, 5, 0, 0, 0, 0, 33, 0, 0, 0, 19, 0, 0, 0, 0, 0, 27, 0, 5, 0, 0, 0, 0, 11, 0, 13, 6, 0, 28, 0, 0, 0, 8, 0, 0, 12, 0, 0, 10, 0, 0, 17, 0, 0, 9, 0, 10, 0, 0, 0, 29, 0, 0, 0, 0, 13, 0, 10, 0, 0, 0, 0, 13, 0, 0, 17, 0, 6, 0, 14, 8, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 24, 7, 0, 11, 0]
[29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 18, 0, 6, 0]
[29, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 24, 0, 10, 0, 0, 0, 0, 0, 13, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 25, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 0, 0, 19, 0, 1, 0, 0, 22, 0, 16, 0, 0, 0, 0, 0, 0, 11, 15, 0, 0, 9, 0, 11, 11, 14, 0, 0, 6, 0, 8, 0, 0, 4, 2, 24, 0, 23, 0, 0]
[29, 0, 0, 0, 0, 0, 4, 13, 5, 0, 0, 9, 6, 0, 0, 6, 4, 0, 0, 0, 22, 0, 12, 2, 0, 0, 0, 0, 0, 14, 16, 0, 16, 0, 0, 0, 0, 1, 0, 23, 0, 19, 0, 0, 0, 9, 10, 0, 7, 0, 2, 4, 0, 0, 0, 0, 35, 0, 0, 0, 9, 0, 10, 0, 0, 11, 0, 10, 0, 6, 16, 0, 0, 0, 0, 0, 8, 0, 0, 22, 0, 0, 17, 0, 11, 14, 0, 0, 0, 0, 22, 0, 0, 0, 0, 25, 6, 10, 0, 0]
