146,1314.4333536214212
145,1336.183529498171
139,1339.2882469876463
137,1350.5980826338684
136,1359.2701462300697
135,1369.049381645446
133,1383.3062273041198
132,1402.9489278925216
129,1404.2613703406903
128,1419.4077553177824
126,1426.2516464325654
125,1435.2656974389083
124,1446.7298162971117
122,1455.539700345083
121,1458.2034617707604
119,1465.9480540872744
109,1542.3362315622744
106,1572.5098075690912
105,1591.781515723118
100,1692.101981529856
99,1713.872185289156
95,1721.2722407153758
94,1742.5943552061246
90,1818.3380868468075
88,2128.0573271386
69,2329.956169605484
68,2356.0098942681843
65,2458.0962574342284
64,2500.9990595089203
63,2536.097369766056
61,2607.1199159021426
59,2662.3329360122493
58,2765.5260223126984
57,2780.401615612189
56,2882.1898821968634
55,3020.8245170735595
53,3070.7618983571238
51,3164.3806031032323
50,3180.5152166479265
48,3323.6691542620733
47,3535.7913877762294
46,3607.382890323184
45,3758.821089020765
41,3888.458566885624
40,4053.316222527464
39,4554.996042992565
38,4726.568059500126
35,4983.212121042414
34,5394.695462735652
33,5933.520274797398
