Dataset,MOEA/D Mean,MOEA/D Std,MOEA/D Best,MOEA/D Worst,NSGA-II Mean,NSGA-II Std,NSGA-II Best,NSGA-II Worst,NSPSO Mean,NSPSO Std,NSPSO Best,NSPSO Worst
100,0.7033257958113667,0.07252638596198183,0.9003549144334041,0.5337731972233679,0.7182659087038811,0.06877708527918555,0.8695527543774483,0.5659870641699583,0.529122516994929,0.03459481342325911,0.6227874373794353,0.45014956294332886
150,0.6337009749317594,0.06240759453499426,0.8047048242806949,0.5103217207331263,0.6574002290840875,0.05392045737674884,0.7956484884847923,0.5493566375665364,0.42068824511959924,0.03221794044733446,0.5230017030337808,0.34940007137474766
200,0.5908018942184894,0.05280477674384089,0.7371913499461322,0.4709149732208904,0.6195406274415352,0.04721355582488325,0.7268318896674018,0.49074031627634307,0.35429020350300033,0.02722498598573198,0.423801224857701,0.28490094397674415
250,0.5383615542098026,0.05024442850990054,0.6671344998862773,0.42737421258345504,0.572403076959797,0.052494304414491856,0.7031247959379522,0.4418746441000678,0.29958374196447046,0.02479096918390844,0.3771795770721629,0.2419441229277505
300,0.521511684040516,0.04633961279781625,0.6444798512011045,0.4019008206587959,0.5382059465006048,0.05085065377876697,0.6820226940935283,0.4084029721686952,0.26697530998407915,0.0254616457677696,0.3593033218850152,0.21377169104793856
